,Year,FSICX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,6.35,-0.82,2.89,7.17,3.45,1.1,134.0,17.0
1,2000,4.07,11.63,1.73,-7.56,2.34,0.99,100.0,25.0
2,2001,6.52,8.44,4.22,-1.92,2.3,0.94,174.0,25.0
3,2002,9.38,10.26,6.76,-0.87,2.62,0.84,117.0,20.0
4,2003,18.62,4.1,16.18,14.51,2.44,0.8,0.8,40.0
5,2004,9.43,4.34,8.38,5.09,1.06,0.76,0.76,29.0
6,2005,3.12,2.43,2.12,0.69,1.01,0.75,119.0,32.0
7,2006,8.18,4.33,6.9,3.85,1.28,0.75,80.0,18.0
8,2007,5.4,6.97,4.45,-1.56,0.96,0.73,140.0,40.0
9,2008,-11.37,5.24,-15.41,-16.61,4.04,0.73,255.0,32.0
10,2009,31.77,5.93,29.22,25.84,2.55,0.74,202.0,31.0
11,2010,9.92,6.54,10.86,3.37,-0.94,0.71,203.0,64.0
12,2011,4.64,7.84,3.37,-3.2,1.27,0.7,229.0,27.0
13,2012,10.89,4.21,11.71,6.67,-0.82,0.7,127.0,61.0
14,2013,0.38,-2.02,1.87,2.4,-1.49,0.69,135.0,57.0
15,YTD,5.05,5.87,4.67,-0.81,0.39,0.39,0.39,32.0
