,Year,FSAGX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.36,24.93,6.16,-16.58,2.19,2.19,2.19,39.0
1,2000,-18.05,-13.18,-16.92,-4.87,-1.13,1.41,71.0,65.0
2,2001,24.99,-16.82,19.57,41.81,5.41,1.43,53.0,28.0
3,2002,64.28,-19.89,63.93,84.16,0.34,1.24,49.0,51.0
4,2003,32.09,33.11,57.15,-1.02,-25.06,1.11,44.0,100.0
5,2004,-9.79,14.72,-8.21,-24.51,-1.58,1.04,1.04,64.0
6,2005,40.7,9.49,30.81,31.21,9.89,0.89,79.0,4.0
7,2006,25.43,20.07,31.64,5.36,-6.21,0.82,108.0,82.0
8,2007,24.93,9.04,23.19,15.9,1.74,0.87,85.0,28.0
9,2008,-20.49,-40.71,-29.85,20.22,9.36,0.81,55.0,7.0
10,2009,38.0,29.99,52.56,8.01,-14.57,0.86,42.0,93.0
11,2010,35.25,11.76,41.56,23.49,-6.31,0.94,46.0,85.0
12,2011,-16.34,-5.54,-20.68,-10.8,4.34,0.89,35.0,16.0
13,2012,-12.43,15.83,-9.2,-28.26,-3.23,0.89,22.0,82.0
14,2013,-51.41,26.68,-48.8,-78.08,-2.6,0.92,18.0,87.0
15,YTD,-8.79,6.66,-10.49,-15.45,1.7,0.91,56.0,44.0
