,Year,AIVSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,16.56,21.04,20.16,-4.49,-3.6,0.55,28.0,13.0
1,2000,3.84,-9.1,-6.31,12.94,10.14,0.56,25.0,67.0
2,2001,-4.59,-11.89,-13.5,7.3,8.91,0.57,22.0,45.0
3,2002,-14.47,-22.1,-22.25,7.63,7.78,0.59,27.0,18.0
4,2003,26.31,28.68,27.05,-2.38,-0.74,0.59,0.59,64.0
5,2004,9.78,10.88,10.02,-1.1,-0.24,0.57,0.57,83.0
6,2005,6.87,4.91,5.88,1.96,0.99,0.55,19.0,35.0
7,2006,15.94,15.79,14.17,0.15,1.77,0.54,20.0,77.0
8,2007,5.94,5.49,6.16,0.45,-0.22,0.54,22.0,19.0
9,2008,-34.73,-37.0,-37.79,2.26,3.06,0.57,31.0,30.0
10,2009,27.18,26.46,28.17,0.71,-0.99,0.66,28.0,49.0
11,2010,10.86,15.06,14.01,-4.21,-3.15,0.61,23.0,85.0
12,2011,-1.76,2.11,-1.27,-3.87,-0.48,0.61,28.0,59.0
13,2012,15.6,16.0,14.96,-0.4,0.64,0.62,21.0,43.0
14,2013,32.43,32.39,31.5,0.04,0.93,0.61,24.0,41.0
15,YTD,14.4,13.98,11.28,0.42,3.12,3.12,3.12,12.0
