,Year,PTRIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,2.43,-0.82,-1.35,3.25,3.78,0.5,0.5,27.0
1,2000,12.25,11.63,9.44,0.62,2.81,2.81,1476.0,1.0
2,2001,9.99,8.44,7.64,1.54,2.34,0.5,848.0,1.0
3,2002,9.46,10.26,8.04,-0.8,1.42,0.5,1193.0,2.0
4,2003,4.2,4.1,5.1,0.09,-0.9,0.5,844.0,9.0
5,2004,4.92,4.34,3.91,0.58,1.01,0.55,993.0,3.0
6,2005,2.47,2.43,1.8,0.04,0.66,0.5,824.0,20.0
7,2006,5.56,4.33,4.15,1.23,1.41,0.5,711.0,1.0
8,2007,7.33,6.97,4.7,0.37,2.63,0.5,780.0,15.0
9,2008,-0.44,5.24,-4.7,-5.68,4.26,0.5,630.0,37.0
10,2009,14.4,5.93,13.97,8.46,0.42,0.5,1093.0,42.0
11,2010,9.38,6.54,7.72,2.84,1.66,0.5,1035.0,19.0
12,2011,5.45,7.84,5.86,-2.39,-0.41,0.5,966.0,72.0
13,2012,5.04,4.21,7.01,0.83,-1.97,0.5,1322.0,74.0
14,2013,-1.41,-2.02,-1.42,0.62,0.02,0.5,1226.0,42.0
15,YTD,6.1,5.87,5.34,0.23,0.75,0.5,1021.0,24.0
