,Year,COLNX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.52,-2.06,-4.71,-2.46,0.19,0.19,28.0,42.0
1,2000,14.43,11.68,11.93,2.74,2.49,0.79,17.0,5.0
2,2001,4.07,5.13,3.83,-1.05,0.24,0.79,18.0,29.0
3,2002,9.6,9.6,8.91,-0.0,0.69,0.79,9.0,28.0
4,2003,6.31,5.31,4.96,0.99,1.35,0.83,11.0,12.0
5,2004,3.78,4.48,3.69,-0.7,0.09,0.83,0.83,41.0
6,2005,2.92,3.51,3.25,-0.59,-0.33,0.84,7.0,48.0
7,2006,4.46,4.84,4.77,-0.38,-0.3,0.84,9.0,51.0
8,2007,2.02,3.36,1.5,-1.34,0.52,0.84,15.0,46.0
9,2008,-8.72,-2.47,-9.21,-6.24,0.5,0.84,17.0,68.0
10,2009,19.58,12.91,18.31,6.67,1.27,0.84,20.0,22.0
11,2010,1.37,2.38,1.7,-1.01,-0.33,0.84,9.0,67.0
12,2011,11.92,10.7,9.85,1.22,2.08,0.82,22.0,9.0
13,2012,8.73,6.78,8.18,1.95,0.54,0.79,24.0,31.0
14,2013,-3.88,-2.55,-5.32,-1.32,1.45,0.78,15.0,22.0
15,YTD,9.38,8.5,9.94,0.87,-0.56,-0.56,-0.56,50.0
