,Year,VMLTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.47,-2.06,0.74,3.52,0.73,0.18,14.0,27.0
1,2000,6.35,11.68,5.87,-5.34,0.47,0.18,32.0,27.0
2,2001,5.58,5.13,4.77,0.45,0.81,0.19,19.0,6.0
3,2002,6.31,9.6,5.39,-3.29,0.92,0.17,17.0,35.0
4,2003,2.79,5.31,2.44,-2.53,0.35,0.17,0.17,30.0
5,2004,1.53,4.48,1.19,-2.95,0.34,0.14,0.14,28.0
6,2005,1.11,3.51,1.21,-2.41,-0.11,0.16,17.0,49.0
7,2006,3.33,4.84,2.95,-1.51,0.38,0.16,27.0,28.0
8,2007,4.32,3.36,3.31,0.96,1.01,0.15,32.0,7.0
9,2008,2.91,-2.47,0.86,5.38,2.04,0.15,23.0,33.0
10,2009,5.57,12.91,5.91,-7.34,-0.34,0.2,11.0,56.0
11,2010,1.97,2.38,1.61,-0.41,0.36,0.2,14.0,32.0
12,2011,3.71,10.7,3.6,-6.99,0.11,0.2,14.0,44.0
13,2012,1.77,6.78,1.92,-5.01,-0.15,0.2,15.0,51.0
14,2013,0.49,-2.55,-0.07,3.04,0.56,0.2,14.0,27.0
15,YTD,1.93,8.5,1.6,-6.57,0.33,0.33,0.33,30.0
