,Year,FMCSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,39.83,21.04,60.49,18.79,-20.66,-20.66,-20.66,68.0
1,2000,32.07,-9.1,-4.78,41.18,36.85,0.86,205.0,1.0
2,2001,-12.8,-11.89,-19.98,-0.92,7.17,0.87,218.0,28.0
3,2002,-27.59,-22.1,-27.24,-5.49,-0.35,0.87,200.0,50.0
4,2003,33.26,28.68,35.96,4.57,-2.7,0.66,120.0,62.0
5,2004,9.05,10.88,13.23,-1.83,-4.17,0.65,0.65,79.0
6,2005,16.07,4.91,9.84,11.16,6.23,0.62,186.0,11.0
7,2006,14.78,15.79,9.0,-1.02,5.78,0.69,74.0,12.0
8,2007,8.2,5.49,15.09,2.71,-6.89,0.82,52.0,83.0
9,2008,-45.96,-37.0,-43.77,-8.96,-2.19,0.94,45.0,61.0
10,2009,50.39,26.46,39.11,23.92,11.28,0.72,73.0,12.0
11,2010,23.57,15.06,24.61,8.51,-1.04,0.64,85.0,60.0
12,2011,-2.41,2.11,-3.96,-4.52,1.55,0.59,131.0,40.0
13,2012,14.93,16.0,14.07,-1.07,0.86,0.85,52.0,42.0
14,2013,38.97,32.39,34.93,6.59,4.05,0.63,46.0,17.0
15,YTD,7.0,13.98,6.96,-6.98,0.04,0.78,27.0,55.0
