,Year,PRGTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,,32.0,32.0
1,2001,-36.07,-16.82,-36.89,-19.25,0.82,1.5,189.0,45.0
2,2002,-29.89,-19.89,-42.86,-10.01,12.96,1.5,211.0,6.0
3,2003,49.85,33.11,55.77,16.74,-5.92,1.5,1.5,60.0
4,2004,10.22,14.72,4.24,-4.5,5.98,1.5,1.5,24.0
5,2005,10.91,9.49,5.76,1.42,5.15,1.5,96.0,18.0
6,2006,10.0,20.07,7.08,-10.07,2.92,1.28,125.0,23.0
7,2007,13.41,9.04,16.12,4.38,-2.71,1.19,107.0,66.0
8,2008,-44.02,-40.71,-45.33,-3.31,1.31,1.32,96.0,34.0
9,2009,80.28,29.99,61.99,50.29,18.29,1.22,110.0,10.0
10,2010,22.66,11.76,20.0,10.89,2.66,1.04,135.0,37.0
11,2011,-1.64,-5.54,-7.62,3.9,5.97,0.98,110.0,12.0
12,2012,19.24,15.83,13.08,3.41,6.15,0.97,182.0,18.0
13,2013,39.92,26.68,35.45,13.24,4.47,0.95,93.0,32.0
14,YTD,28.12,6.66,13.32,21.47,14.81,14.81,14.81,4.0
