,Year,NMDMX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.04,-2.06,-2.66,1.02,1.62,1.62,1.62,10.0
1,2000,8.28,11.68,9.62,-3.4,-1.34,0.73,21.0,79.0
2,2001,4.4,5.13,4.37,-0.72,0.03,0.75,13.0,43.0
3,2002,7.48,9.6,8.12,-2.13,-0.64,0.75,16.0,77.0
4,2003,3.33,5.31,4.03,-1.98,-0.7,0.75,15.0,78.0
5,2004,1.49,4.48,2.88,-2.99,-1.39,0.75,0.75,94.0
6,2005,0.89,3.51,2.08,-2.63,-1.19,0.75,2.0,93.0
7,2006,3.51,4.84,3.77,-1.33,-0.27,0.75,24.0,61.0
8,2007,2.75,3.36,2.05,-0.61,0.69,0.75,20.0,44.0
9,2008,-3.26,-2.47,-2.81,-0.79,-0.45,0.75,8.0,60.0
10,2009,11.15,12.91,11.29,-1.76,-0.14,0.75,11.0,41.0
11,2010,2.12,2.38,1.65,-0.26,0.48,0.79,23.0,28.0
12,2011,8.66,10.7,8.9,-2.04,-0.24,0.8,11.0,55.0
13,2012,3.92,6.78,4.75,-2.86,-0.83,0.8,1.0,74.0
14,2013,-1.92,-2.55,-2.82,0.63,0.9,0.81,15.0,18.0
15,YTD,5.33,8.5,6.39,-3.17,-1.06,0.81,2.0,68.0
