,Year,FRORX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.88,-2.06,-4.34,-1.82,0.46,0.46,11.0,80.0
1,2000,11.0,11.68,11.02,-0.68,-0.02,0.66,25.0,18.0
2,2001,4.19,5.13,4.32,-0.94,-0.13,0.67,16.0,57.0
3,2002,8.13,9.6,8.53,-1.48,-0.4,0.67,19.0,63.0
4,2003,5.48,5.31,4.79,0.16,0.69,0.65,9.0,16.0
5,2004,5.31,4.48,3.84,0.83,1.47,0.65,0.65,9.0
6,2005,4.32,3.51,2.96,0.81,1.36,0.65,10.0,4.0
7,2006,4.5,4.84,4.41,-0.34,0.09,0.66,5.0,35.0
8,2007,2.99,3.36,1.65,-0.37,1.34,0.65,5.0,8.0
9,2008,-4.05,-2.47,-10.07,-1.57,6.02,0.64,5.0,13.0
10,2009,14.25,12.91,19.1,1.34,-4.84,0.64,10.0,74.0
11,2010,1.19,2.38,1.18,-1.19,0.01,0.64,10.0,51.0
12,2011,11.01,10.7,10.2,0.31,0.81,0.63,8.0,28.0
13,2012,6.88,6.78,7.57,0.1,-0.69,0.63,12.0,66.0
14,2013,-6.27,-2.55,-5.66,-3.71,-0.61,0.62,8.0,77.0
15,YTD,9.16,8.5,9.57,0.66,-0.4,0.62,8.0,51.0
