,Year,MAPCX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,87.76,30.63,95.04,57.13,-7.28,0.85,29.0,54.0
1,2000,-28.32,-15.31,-34.33,-13.01,6.0,0.82,35.0,15.0
2,2001,-13.63,-19.73,-17.22,6.11,3.6,0.89,9.0,18.0
3,2002,-14.58,-14.95,-12.31,0.37,-2.26,0.96,12.0,71.0
4,2003,37.94,40.83,36.79,-2.89,1.15,0.96,0.96,54.0
5,2004,16.48,20.91,16.79,-4.42,-0.31,0.89,0.89,50.0
6,2005,21.75,16.62,27.13,5.13,-5.38,0.88,22.0,50.0
7,2006,19.06,26.65,20.7,-7.59,-1.64,0.84,17.0,50.0
8,2007,11.94,16.65,18.15,-4.71,-6.21,0.88,22.0,64.0
9,2008,-36.13,-45.53,-42.21,9.39,6.08,0.88,86.0,4.0
10,2009,34.1,41.45,34.7,-7.35,-0.6,0.97,136.0,52.0
11,2010,15.92,11.15,16.57,4.77,-0.65,0.91,124.0,41.0
12,2011,-20.96,-13.71,-17.97,-7.25,-2.99,0.92,149.0,73.0
13,2012,24.8,16.83,20.4,7.97,4.4,0.95,114.0,5.0
14,2013,21.22,15.29,13.85,5.93,7.37,0.9,121.0,3.0
15,YTD,-0.02,-0.27,2.44,0.25,-2.47,-2.47,-2.47,77.0
