,Year,TFSIX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.35,24.93,-1.79,-20.58,6.14,1.42,82.0,20.0
1,2000,31.9,-13.18,27.74,45.07,4.15,1.59,54.0,24.0
2,2001,11.85,-16.82,-2.05,28.67,13.9,1.45,83.0,12.0
3,2002,-0.57,-19.89,-10.28,19.32,9.71,1.44,40.0,10.0
4,2003,29.79,33.11,33.56,-3.31,-3.77,1.48,1.48,64.0
5,2004,15.17,14.72,14.02,0.45,1.16,1.43,1.43,28.0
6,2005,13.82,9.49,6.74,4.33,7.08,1.41,32.0,7.0
7,2006,19.35,20.07,16.9,-0.72,2.44,1.39,63.0,23.0
8,2007,-8.99,9.04,-11.64,-18.02,2.65,1.39,50.0,42.0
9,2008,-40.23,-40.71,-43.91,0.48,3.68,1.48,42.0,27.0
10,2009,14.53,29.99,25.26,-15.45,-10.72,1.53,81.0,73.0
11,2010,12.45,11.76,11.13,0.69,1.31,1.58,35.0,41.0
12,2011,-9.49,-5.54,-15.12,-3.95,5.63,1.54,24.0,21.0
13,2012,19.55,15.83,24.77,3.72,-5.23,1.54,13.0,76.0
14,2013,25.32,26.68,34.57,-1.36,-9.25,1.46,26.0,97.0
15,YTD,11.12,6.66,4.86,4.47,6.26,6.26,6.26,16.0
