,Year,FBMPX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,44.14,24.93,14.76,19.2,29.38,29.38,29.38,100.0
1,2000,-23.11,-13.18,-14.28,-9.94,-8.83,1.15,76.0,6.0
2,2001,-0.97,-16.82,-1.13,15.86,0.16,1.12,73.0,1.0
3,2002,-12.84,-19.89,-17.74,7.05,4.9,1.1,74.0,1.0
4,2003,43.89,33.11,30.18,10.78,13.71,1.13,272.0,44.0
5,2004,3.01,14.72,12.53,-11.71,-9.52,1.09,1.09,100.0
6,2005,7.44,9.49,-0.22,-2.05,7.66,1.03,88.0,51.0
7,2006,14.03,20.07,16.06,-6.04,-2.03,1.04,48.0,75.0
8,2007,-9.28,9.04,-6.83,-18.32,-2.45,1.04,179.0,95.0
9,2008,-39.29,-40.71,-39.8,1.42,0.51,0.98,68.0,6.0
10,2009,54.41,29.99,37.84,24.42,16.57,1.07,39.0,22.0
11,2010,25.8,11.76,27.35,14.04,-1.55,1.07,40.0,22.0
12,2011,1.83,-5.54,1.58,7.37,0.24,0.94,76.0,25.0
13,2012,34.22,15.83,22.64,18.39,11.58,0.9,85.0,6.0
14,2013,45.65,26.68,37.14,18.98,8.52,0.88,30.0,4.0
15,YTD,8.04,6.66,6.5,1.38,1.53,0.8,111.0,38.0
