,Year,FIREX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2005,14.94,9.49,13.4,5.46,1.54,1.27,36.0,31.0
1,2006,42.87,20.07,39.0,22.8,3.87,0.91,234.0,16.0
2,2007,-8.25,9.04,-7.68,-17.29,-0.57,0.96,144.0,61.0
3,2008,-50.52,-40.71,-46.63,-9.81,-3.89,1.07,63.0,88.0
4,2009,35.82,29.99,37.01,5.83,-1.19,1.16,55.0,46.0
5,2010,14.53,11.76,17.22,2.77,-2.69,1.14,95.0,79.0
6,2011,-22.24,-5.54,-10.1,-16.7,-12.14,1.11,131.0,95.0
7,2012,44.16,15.83,31.78,28.33,12.38,1.12,138.0,6.0
8,2013,12.58,26.68,2.92,-14.1,9.66,1.14,78.0,2.0
9,YTD,4.8,6.66,12.2,-1.85,-7.4,1.13,59.0,80.0
