,Year,FDFAX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-20.47,24.93,-10.35,-45.4,-10.12,-10.12,-10.12,75.0
1,2000,29.85,-13.18,12.93,43.03,16.92,1.29,38.0,1.0
2,2001,-0.47,-16.82,2.98,16.36,-3.45,1.24,278.0,50.0
3,2002,-6.67,-19.89,-5.97,13.22,-0.7,1.14,315.0,60.0
4,2003,14.11,33.11,18.97,-18.99,-4.86,1.17,225.0,80.0
5,2004,15.8,14.72,14.75,1.08,1.05,1.25,1.25,50.0
6,2005,5.86,9.49,0.15,-3.63,5.71,1.05,86.0,1.0
7,2006,20.19,20.07,17.16,0.12,3.03,1.03,75.0,1.0
8,2007,21.49,9.04,14.81,12.45,6.68,0.98,99.0,16.0
9,2008,-22.3,-40.71,-25.63,18.41,3.33,0.84,71.0,16.0
10,2009,20.94,29.99,25.24,-9.05,-4.31,0.9,70.0,50.0
11,2010,15.2,11.76,18.99,3.44,-3.78,0.91,69.0,73.0
12,2011,8.84,-5.54,5.05,14.39,3.79,0.86,57.0,27.0
13,2012,15.39,15.83,13.65,-0.43,1.74,0.82,35.0,32.0
14,2013,21.63,26.68,27.11,-5.04,-5.48,0.8,28.0,56.0
15,YTD,17.2,6.66,11.94,10.54,5.25,0.79,31.0,1.0
