,Year,WOBDX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-0.87,-0.82,-1.35,-0.05,0.48,0.48,11.0,35.0
1,2000,12.11,11.63,9.44,0.49,2.68,0.6,16.0,6.0
2,2001,9.07,8.44,7.64,0.62,1.42,0.6,20.0,15.0
3,2002,10.23,10.26,8.04,-0.03,2.19,0.6,32.0,10.0
4,2003,3.98,4.1,5.1,-0.12,-1.12,0.6,23.0,58.0
5,2004,4.4,4.34,3.91,0.06,0.49,0.6,0.6,30.0
6,2005,2.27,2.43,1.8,-0.16,0.46,0.6,16.0,24.0
7,2006,4.0,4.33,4.15,-0.33,-0.15,0.6,13.0,47.0
8,2007,6.97,6.97,4.7,0.0,2.26,0.6,8.0,10.0
9,2008,3.96,5.24,-4.7,-1.28,8.65,0.6,14.0,17.0
10,2009,9.67,5.93,13.97,3.74,-4.3,0.6,18.0,71.0
11,2010,7.26,6.54,7.72,0.71,-0.46,0.57,18.0,55.0
12,2011,7.3,7.84,5.86,-0.55,1.43,0.57,24.0,20.0
13,2012,5.08,4.21,7.01,0.86,-1.93,0.58,20.0,74.0
14,2013,-1.77,-2.02,-1.42,0.25,-0.35,0.57,15.0,53.0
15,YTD,5.17,5.87,5.34,-0.69,-0.17,0.58,15.0,63.0
