,Year,MANJX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-6.32,-2.06,-4.41,-4.27,-1.91,-1.91,120.0,83.0
1,2000,11.34,11.68,10.78,-0.35,0.56,0.72,83.0,32.0
2,2001,3.34,5.13,4.05,-1.78,-0.71,0.79,38.0,74.0
3,2002,8.04,9.6,8.13,-1.57,-0.1,0.94,41.0,65.0
4,2003,5.44,5.31,4.68,0.13,0.76,0.83,40.0,13.0
5,2004,5.35,4.48,3.55,0.87,1.8,0.81,0.81,6.0
6,2005,5.47,3.51,3.38,1.95,2.09,0.83,70.0,9.0
7,2006,6.17,4.84,4.65,1.32,1.51,0.81,16.0,14.0
8,2007,0.97,3.36,1.43,-2.39,-0.46,0.61,15.0,73.0
9,2008,-8.48,-2.47,-8.16,-6.01,-0.32,0.66,11.0,74.0
10,2009,17.2,12.91,17.34,4.28,-0.14,0.69,17.0,25.0
11,2010,2.33,2.38,1.38,-0.04,0.96,0.77,18.0,13.0
12,2011,12.02,10.7,10.38,1.32,1.64,0.62,14.0,5.0
13,2012,10.56,6.78,8.37,3.78,2.19,0.68,18.0,22.0
14,2013,-4.96,-2.55,-5.14,-2.4,0.18,0.78,8.0,49.0
15,YTD,11.49,8.5,9.39,2.99,2.1,0.76,12.0,14.0
