,Year,MAPYX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.69,-2.06,-4.22,-2.63,-0.46,-0.46,43.0,55.0
1,2000,11.79,11.68,10.33,0.11,1.47,0.81,51.0,19.0
2,2001,4.69,5.13,4.6,-0.44,0.08,0.84,73.0,51.0
3,2002,8.6,9.6,8.48,-1.01,0.12,1.0,30.0,38.0
4,2003,6.15,5.31,4.82,0.84,1.33,0.89,35.0,6.0
5,2004,4.12,4.48,3.43,-0.36,0.69,0.88,0.88,21.0
6,2005,4.03,3.51,3.05,0.52,0.98,0.91,36.0,8.0
7,2006,5.07,4.84,4.4,0.22,0.67,0.88,23.0,14.0
8,2007,1.79,3.36,1.67,-1.57,0.12,0.6,46.0,51.0
9,2008,-7.53,-2.47,-7.76,-5.05,0.23,0.6,44.0,58.0
10,2009,16.18,12.91,16.61,3.26,-0.44,0.63,20.0,33.0
11,2010,0.61,2.38,1.48,-1.77,-0.87,0.7,26.0,77.0
12,2011,13.62,10.7,9.84,2.92,3.78,0.62,25.0,1.0
13,2012,9.37,6.78,7.47,2.59,1.9,0.67,24.0,11.0
14,2013,-5.58,-2.55,-4.62,-3.03,-0.97,0.71,10.0,68.0
15,YTD,11.84,8.5,9.46,3.33,2.37,0.71,11.0,7.0
