,Year,FRSGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,97.08,21.04,60.49,76.04,36.6,36.6,47.0,19.0
1,2000,-9.8,-9.1,-4.78,-0.7,-5.02,0.85,25.0,63.0
2,2001,-20.53,-11.89,-19.98,-8.64,-0.55,0.86,27.0,50.0
3,2002,-29.58,-22.1,-27.24,-7.48,-2.34,0.89,47.0,63.0
4,2003,37.68,28.68,35.96,8.99,1.72,1.02,36.0,36.0
5,2004,13.04,10.88,13.23,2.16,-0.19,0.98,0.98,51.0
6,2005,10.55,4.91,9.84,5.63,0.71,0.97,43.0,46.0
7,2006,7.52,15.79,9.0,-8.27,-1.48,0.96,40.0,58.0
8,2007,11.67,5.49,15.09,6.18,-3.42,0.98,53.0,64.0
9,2008,-42.51,-37.0,-43.77,-5.52,1.26,1.01,55.0,41.0
10,2009,43.17,26.46,39.11,16.71,4.07,1.08,55.0,37.0
11,2010,28.43,15.06,24.61,13.37,3.82,1.04,55.0,24.0
12,2011,-4.89,2.11,-3.96,-7.01,-0.93,0.99,44.0,57.0
13,2012,10.78,16.0,14.07,-5.22,-3.29,0.99,47.0,80.0
14,2013,38.58,32.39,34.93,6.19,3.65,0.98,44.0,19.0
15,YTD,8.0,13.98,6.96,-5.98,1.04,0.96,41.0,40.0
