,Year,FPRTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.33,-2.06,-3.71,-0.28,1.38,1.38,20.0,5.0
1,2000,10.21,11.68,5.54,-1.47,4.67,0.74,13.0,68.0
2,2001,4.24,5.13,5.41,-0.88,-1.16,0.77,42.0,53.0
3,2002,9.3,9.6,6.29,-0.31,3.01,0.75,34.0,20.0
4,2003,4.3,5.31,7.01,-1.02,-2.72,0.74,32.0,73.0
5,2004,5.13,4.48,6.57,0.65,-1.44,0.72,0.72,8.0
6,2005,3.91,3.51,6.35,0.4,-2.43,0.72,10.0,16.0
7,2006,5.19,4.84,7.14,0.35,-1.96,0.71,14.0,17.0
8,2007,1.38,3.36,-3.31,-1.98,4.68,0.7,11.0,56.0
9,2008,-12.97,-2.47,-25.27,-10.5,12.29,0.69,18.0,78.0
10,2009,23.03,12.91,30.89,10.11,-7.86,0.68,14.0,18.0
11,2010,3.37,2.38,3.77,0.99,-0.4,0.69,19.0,7.0
12,2011,11.75,10.7,10.18,1.05,1.57,0.67,13.0,16.0
13,2012,3.25,6.78,13.82,-3.53,-10.57,0.67,7.0,97.0
14,2013,-17.31,-2.55,-5.99,-14.76,-11.32,0.66,13.0,99.0
15,YTD,10.01,8.5,12.88,1.51,-2.87,0.67,10.0,88.0
