,Year,FLSAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,7.83,-11.89,-3.12,19.72,10.95,10.95,259.0,17.0
1,2002,-1.75,-22.1,-16.55,20.35,14.8,1.3,281.0,2.0
2,2003,91.61,28.68,36.28,62.92,55.32,1.38,1.38,1.0
3,2004,23.43,10.88,16.3,12.54,7.12,1.26,1.26,7.0
4,2005,17.25,4.91,9.25,12.33,8.0,1.17,11.0,6.0
5,2006,16.67,15.79,14.03,0.87,2.64,1.16,9.0,24.0
6,2007,19.36,5.49,4.85,13.86,14.5,1.11,19.0,3.0
7,2008,-53.78,-37.0,-39.18,-16.78,-14.59,1.12,22.0,97.0
8,2009,59.68,26.46,37.39,33.22,22.29,1.2,45.0,7.0
9,2010,24.34,15.06,22.52,9.28,1.82,1.15,22.0,42.0
10,2011,-10.65,2.11,-3.81,-12.76,-6.84,1.12,18.0,91.0
11,2012,29.3,16.0,16.15,13.3,13.15,1.13,30.0,2.0
12,2013,36.46,32.39,34.1,4.07,2.36,1.1,17.0,28.0
13,YTD,4.28,13.98,7.43,-9.69,-3.15,1.07,9.0,81.0
