,Year,FSAZX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.83,-2.06,-4.34,0.23,2.51,2.51,2.51,34.0
1,2000,10.97,11.68,11.02,-0.71,-0.05,0.48,37.0,20.0
2,2001,4.84,5.13,4.32,-0.28,0.53,0.41,24.0,20.0
3,2002,9.93,9.6,8.53,0.32,1.39,0.48,26.0,4.0
4,2003,5.22,5.31,4.79,-0.09,0.44,0.52,19.0,11.0
5,2004,3.73,4.48,3.84,-0.75,-0.11,0.53,0.53,20.0
6,2005,2.7,3.51,2.96,-0.81,-0.26,0.5,13.0,20.0
7,2006,4.45,4.84,4.41,-0.4,0.03,0.5,22.0,11.0
8,2007,2.55,3.36,1.65,-0.81,0.9,0.48,15.0,50.0
9,2008,-4.21,-2.47,-10.07,-1.74,5.86,0.52,22.0,15.0
10,2009,13.65,12.91,19.1,0.73,-5.45,0.55,19.0,81.0
11,2010,2.33,2.38,1.18,-0.05,1.15,0.55,10.0,18.0
12,2011,9.95,10.7,10.2,-0.75,-0.26,0.55,10.0,59.0
13,2012,7.51,6.78,7.57,0.73,-0.06,0.55,12.0,43.0
14,2013,-3.15,-2.55,-5.66,-0.6,2.51,0.55,20.0,10.0
15,YTD,9.62,8.5,9.57,1.11,0.05,0.55,8.0,40.0
