,Year,NNIBX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.37,-2.06,-2.66,0.69,1.29,1.29,1.29,19.0
1,2000,8.59,11.68,9.62,-3.1,-1.04,0.5,19.0,69.0
2,2001,4.72,5.13,4.37,-0.41,0.35,0.5,19.0,57.0
3,2002,8.13,9.6,8.12,-1.48,0.01,0.5,13.0,4.0
4,2003,4.07,5.31,4.03,-1.25,0.03,0.5,9.0,4.0
5,2004,3.07,4.48,2.88,-1.41,0.19,0.5,0.5,1.0
6,2005,1.84,3.51,2.08,-1.67,-0.23,0.5,6.0,20.0
7,2006,3.84,4.84,3.77,-1.0,0.07,0.5,16.0,43.0
8,2007,2.69,3.36,2.05,-0.67,0.63,0.5,17.0,46.0
9,2008,-3.35,-2.47,-2.81,-0.88,-0.54,0.5,25.0,62.0
10,2009,11.01,12.91,11.29,-1.9,-0.28,0.5,20.0,43.0
11,2010,2.57,2.38,1.65,0.19,0.92,0.53,15.0,14.0
12,2011,9.74,10.7,8.9,-0.96,0.84,0.55,16.0,24.0
13,2012,4.13,6.78,4.75,-2.65,-0.62,0.54,1.0,64.0
14,2013,-1.67,-2.55,-2.82,0.88,1.15,0.55,10.0,9.0
15,YTD,5.18,8.5,6.39,-3.33,-1.22,0.56,3.0,74.0
