,Year,FRNJX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.37,-2.06,-4.41,-1.31,1.04,1.04,5.0,31.0
1,2000,11.57,11.68,10.78,-0.12,0.79,0.65,21.0,22.0
2,2001,4.7,5.13,4.05,-0.43,0.65,0.67,20.0,22.0
3,2002,8.64,9.6,8.13,-0.96,0.51,0.65,6.0,35.0
4,2003,4.76,5.31,4.68,-0.56,0.07,0.65,18.0,42.0
5,2004,5.17,4.48,3.55,0.69,1.62,0.65,0.65,9.0
6,2005,4.46,3.51,3.38,0.95,1.08,0.65,12.0,18.0
7,2006,4.76,4.84,4.65,-0.09,0.1,0.65,8.0,37.0
8,2007,2.69,3.36,1.43,-0.67,1.26,0.64,4.0,23.0
9,2008,-5.61,-2.47,-8.16,-3.13,2.55,0.64,11.0,43.0
10,2009,15.21,12.91,17.34,2.3,-2.13,0.63,11.0,46.0
11,2010,1.35,2.38,1.38,-1.03,-0.03,0.63,10.0,57.0
12,2011,10.88,10.7,10.38,0.18,0.5,0.63,13.0,33.0
13,2012,6.14,6.78,8.37,-0.64,-2.23,0.63,8.0,90.0
14,2013,-5.5,-2.55,-5.14,-2.94,-0.36,0.63,13.0,73.0
15,YTD,8.3,8.5,9.39,-0.2,-1.09,0.63,10.0,58.0
