,Year,FRALX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.61,-2.06,-4.34,-1.55,0.73,0.73,9.0,32.0
1,2000,9.78,11.68,11.02,-1.9,-1.24,0.72,21.0,79.0
2,2001,4.76,5.13,4.32,-0.37,0.44,0.73,11.0,27.0
3,2002,8.66,9.6,8.53,-0.94,0.13,0.73,10.0,43.0
4,2003,5.9,5.31,4.79,0.58,1.11,0.73,17.0,7.0
5,2004,4.63,4.48,3.84,0.15,0.79,0.72,0.72,22.0
6,2005,3.18,3.51,2.96,-0.33,0.22,0.72,9.0,36.0
7,2006,4.29,4.84,4.41,-0.55,-0.12,0.72,13.0,41.0
8,2007,3.22,3.36,1.65,-0.14,1.58,0.71,16.0,4.0
9,2008,-5.17,-2.47,-10.07,-2.7,4.9,0.71,17.0,22.0
10,2009,13.1,12.91,19.1,0.18,-6.0,0.71,20.0,88.0
11,2010,-0.27,2.38,1.18,-2.65,-1.45,0.71,8.0,87.0
12,2011,12.21,10.7,10.2,1.51,2.01,0.71,11.0,9.0
13,2012,7.5,6.78,7.57,0.72,-0.07,0.71,5.0,43.0
14,2013,-4.87,-2.55,-5.66,-2.31,0.79,0.7,18.0,39.0
15,YTD,9.93,8.5,9.57,1.43,0.36,0.71,14.0,33.0
