,Year,FDGFX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,8.81,21.04,20.16,-12.23,-11.35,-11.35,-11.35,88.0
1,2000,12.25,-9.1,-6.31,21.36,18.56,18.56,86.0,4.0
2,2001,-3.74,-11.89,-13.5,8.14,9.76,0.94,88.0,5.0
3,2002,-20.44,-22.1,-22.25,1.66,1.81,0.95,89.0,26.0
4,2003,23.36,28.68,27.05,-5.33,-3.69,1.02,51.0,81.0
5,2004,5.84,10.88,10.02,-5.05,-4.19,0.89,0.89,90.0
6,2005,3.5,4.91,5.88,-1.41,-2.38,0.66,26.0,80.0
7,2006,14.67,15.79,14.17,-1.12,0.5,0.59,30.0,44.0
8,2007,1.11,5.49,6.16,-4.38,-5.05,0.6,36.0,88.0
9,2008,-42.96,-37.0,-37.79,-5.96,-5.17,0.63,52.0,88.0
10,2009,51.0,26.46,28.17,24.54,22.83,0.62,177.0,3.0
11,2010,21.19,15.06,14.01,6.13,7.18,0.92,85.0,5.0
12,2011,-8.51,2.11,-1.27,-10.62,-7.24,0.93,67.0,94.0
13,2012,18.7,16.0,14.96,2.7,3.74,0.91,63.0,9.0
14,2013,31.61,32.39,31.5,-0.78,0.11,0.62,69.0,54.0
15,YTD,12.63,13.98,11.28,-1.34,1.35,0.56,99.0,40.0
