,Year,INEGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,9.75,21.04,6.72,-11.29,3.03,3.03,106.0,32.0
1,2000,-0.36,-9.1,7.87,8.75,-8.23,1.67,59.0,82.0
2,2001,-5.13,-11.89,-4.99,6.75,-0.15,1.7,97.0,48.0
3,2002,-26.61,-22.1,-18.69,-4.51,-7.92,1.78,61.0,95.0
4,2003,31.28,28.68,28.44,2.6,2.85,1.77,38.0,24.0
5,2004,13.95,10.88,12.97,3.07,0.98,1.84,1.84,36.0
6,2005,10.85,4.91,5.95,5.94,4.9,1.88,25.0,8.0
7,2006,19.48,15.79,18.15,3.68,1.33,1.92,28.0,33.0
8,2007,5.88,5.49,1.42,0.38,4.45,1.86,37.0,20.0
9,2008,-39.84,-37.0,-37.09,-2.84,-2.75,1.81,25.0,72.0
10,2009,27.23,26.46,24.13,0.76,3.1,1.88,21.0,26.0
11,2010,13.36,15.06,13.66,-1.71,-0.3,1.85,30.0,49.0
12,2011,-6.88,2.11,-0.75,-9.0,-6.14,1.86,37.0,89.0
13,2012,14.59,16.0,14.57,-1.41,0.03,1.88,21.0,52.0
14,2013,29.59,32.39,31.21,-2.79,-1.62,1.91,49.0,70.0
15,YTD,7.42,13.98,10.25,-6.55,-2.83,1.93,61.0,89.0
