,Year,NFEAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,52.85,21.04,38.87,31.81,13.98,13.98,177.0,16.0
1,2000,-17.32,-9.1,-13.05,-8.21,-4.27,1.41,53.0,68.0
2,2001,-19.11,-11.89,-22.3,-7.22,3.19,1.34,134.0,40.0
3,2002,-15.73,-22.1,-27.64,6.37,11.92,1.36,1.36,3.0
4,2003,31.34,28.68,28.66,2.65,2.68,1.37,1.37,25.0
5,2004,10.67,10.88,7.81,-0.21,2.86,1.34,1.34,25.0
6,2005,9.59,4.91,6.71,4.68,2.87,1.3,1.3,25.0
7,2006,8.35,15.79,7.05,-7.44,1.3,1.22,1.22,38.0
8,2007,13.18,5.49,13.35,7.69,-0.17,1.24,1.24,47.0
9,2008,-39.77,-37.0,-40.67,-2.77,0.9,1.22,82.0,44.0
10,2009,30.22,26.46,35.68,3.76,-5.46,1.26,85.0,72.0
11,2010,18.52,15.06,15.53,3.46,2.99,1.3,77.0,23.0
12,2011,-2.65,2.11,-2.46,-4.77,-0.19,1.3,77.0,55.0
13,2012,11.79,16.0,15.34,-4.21,-3.55,1.36,90.0,86.0
14,2013,37.67,32.39,33.92,5.29,3.75,1.29,76.0,17.0
15,YTD,12.83,13.98,10.79,-1.15,2.04,1.21,95.0,27.0
