,Year,SRINX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.23,-0.82,-3.43,2.05,4.65,4.65,4.65,3.0
1,2000,9.82,11.63,7.91,-1.81,1.91,1.91,1.91,26.0
2,2001,8.65,8.44,9.11,0.21,-0.46,0.86,0.86,51.0
3,2002,7.61,10.26,8.86,-2.65,-1.25,0.8,136.0,68.0
4,2003,11.97,4.1,9.34,7.87,2.63,0.84,96.0,23.0
5,2004,6.03,4.34,5.79,1.69,0.24,0.82,142.0,39.0
6,2005,2.19,2.43,1.94,-0.24,0.25,0.72,36.0,28.0
7,2006,4.53,4.33,4.36,0.19,0.16,0.76,147.0,40.0
8,2007,1.7,6.97,4.17,-5.26,-2.46,0.72,142.0,90.0
9,2008,-10.69,5.24,-7.9,-15.93,-2.78,0.75,193.0,71.0
10,2009,28.56,5.93,22.61,22.63,5.95,0.78,147.0,20.0
11,2010,8.95,6.54,10.0,2.41,-1.05,0.7,131.0,72.0
12,2011,8.71,7.84,7.46,0.87,1.25,0.71,108.0,19.0
13,2012,10.72,4.21,11.06,6.51,-0.34,0.67,6.0,54.0
14,2013,-0.01,-2.02,-1.06,2.02,1.06,0.7,109.0,28.0
15,YTD,5.59,5.87,7.18,-0.28,-1.59,0.71,105.0,71.0
