,Year,BFRAX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,4.73,-0.82,5.87,5.55,-1.13,-1.13,-1.13,87.0
1,2000,3.88,11.63,5.52,-7.75,-1.64,1.31,60.0,88.0
2,2001,-0.35,8.44,1.64,-8.8,-2.0,1.36,51.0,84.0
3,2002,-2.51,10.26,0.84,-12.77,-3.36,1.41,89.0,97.0
4,2003,15.33,4.1,10.43,11.23,4.9,1.45,57.0,21.0
5,2004,6.35,4.34,5.12,2.02,1.23,1.44,1.44,28.0
6,2005,4.55,2.43,4.58,2.12,-0.02,1.41,1.41,34.0
7,2006,5.64,4.33,6.57,1.31,-0.93,1.43,54.0,80.0
8,2007,1.67,6.97,1.09,-5.29,0.59,1.44,46.0,25.0
9,2008,-28.66,5.24,-29.72,-33.9,1.06,1.28,56.0,38.0
10,2009,39.83,5.93,41.81,33.9,-1.98,1.53,47.0,62.0
11,2010,8.61,6.54,9.44,2.07,-0.83,1.53,108.0,63.0
12,2011,2.41,7.84,1.63,-5.43,0.77,1.41,46.0,21.0
13,2012,8.29,4.21,9.43,4.07,-1.15,1.05,60.0,69.0
14,2013,5.09,-2.02,5.68,7.11,-0.59,1.01,91.0,57.0
15,YTD,2.31,5.87,1.88,-3.55,0.43,0.97,87.0,19.0
