,Year,UBVLX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,33.11,21.04,6.78,12.07,26.33,26.33,26.33,18.0
1,2000,11.75,-9.1,18.64,20.86,-6.89,1.4,54.0,50.0
2,2001,12.87,-11.89,15.92,24.76,-3.05,1.4,36.0,28.0
3,2002,-16.07,-22.1,-10.12,6.03,-5.95,1.4,59.0,55.0
4,2003,62.37,28.68,42.38,33.69,19.99,1.4,84.0,5.0
5,2004,20.83,10.88,21.14,9.95,-0.31,1.4,1.4,34.0
6,2005,7.04,4.91,6.4,2.13,0.64,1.4,55.0,47.0
7,2006,16.41,15.79,16.27,0.61,0.14,1.4,34.0,34.0
8,2007,-8.64,5.49,-6.08,-14.14,-2.56,1.4,55.0,89.0
9,2008,-36.67,-37.0,-32.24,0.33,-4.43,1.4,55.0,58.0
10,2009,41.53,26.46,31.32,15.07,10.21,1.41,61.0,16.0
11,2010,31.99,15.06,26.17,16.93,5.83,1.39,50.0,9.0
12,2011,-1.53,2.11,-4.45,-3.65,2.92,1.39,44.0,24.0
13,2012,23.55,16.0,16.0,7.54,7.54,1.39,61.0,4.0
14,2013,37.64,32.39,36.22,5.25,1.42,1.0,58.0,38.0
15,YTD,5.38,13.98,1.3,-8.6,4.07,0.89,44.0,8.0
