,Year,OPGIX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,86.57,30.63,41.13,55.94,45.44,45.44,98.0,1.0
1,2000,-4.23,-15.31,-9.14,11.09,4.91,1.2,48.0,49.0
2,2001,-16.32,-19.73,-17.51,3.42,1.2,1.22,53.0,44.0
3,2002,-26.99,-14.95,-19.36,-12.04,-7.62,1.4,39.0,87.0
4,2003,57.25,40.83,34.49,16.42,22.76,1.36,61.0,1.0
5,2004,29.88,20.91,15.27,8.98,14.62,1.19,1.19,1.0
6,2005,17.43,16.62,11.61,0.82,5.82,1.16,107.0,11.0
7,2006,11.0,26.65,19.72,-15.65,-8.71,1.13,96.0,97.0
8,2007,3.58,16.65,11.28,-13.07,-7.7,1.13,39.0,86.0
9,2008,-41.92,-45.53,-41.91,3.61,-0.01,1.18,41.0,49.0
10,2009,75.79,41.45,35.27,34.34,40.52,1.33,99.0,2.0
11,2010,12.63,11.15,13.74,1.48,-1.11,1.21,65.0,50.0
12,2011,-9.24,-13.71,-7.93,4.47,-1.31,1.2,41.0,59.0
13,2012,10.28,16.83,15.84,-6.55,-5.56,1.22,57.0,89.0
14,2013,40.68,15.29,25.19,25.4,15.49,1.21,27.0,3.0
15,YTD,-1.39,-0.27,4.54,-1.11,-5.92,1.17,16.0,90.0
