,Year,PGSGX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,26.75,21.04,64.77,5.71,-38.02,-38.02,128.0,81.0
1,2000,8.01,-9.1,-3.85,17.11,11.86,1.3,163.0,23.0
2,2001,-6.58,-11.89,-8.91,5.31,2.33,1.29,158.0,42.0
3,2002,-21.13,-22.1,-27.88,0.97,6.75,1.3,119.0,24.0
4,2003,34.09,28.68,45.54,5.4,-11.45,1.28,95.0,89.0
5,2004,20.44,10.88,12.41,9.56,8.03,1.24,1.24,13.0
6,2005,6.38,4.91,6.02,1.47,0.36,1.24,129.0,45.0
7,2006,16.01,15.79,10.81,0.21,5.19,1.25,97.0,15.0
8,2007,12.34,5.49,7.59,6.84,4.75,1.25,86.0,27.0
9,2008,-43.26,-37.0,-41.55,-6.26,-1.71,1.25,71.0,65.0
10,2009,38.7,26.46,35.46,12.24,3.25,1.25,83.0,35.0
11,2010,33.77,15.06,26.98,18.71,6.79,1.25,83.0,15.0
12,2011,-3.53,2.11,-3.55,-5.64,0.02,1.24,79.0,52.0
13,2012,12.23,16.0,13.15,-3.77,-0.92,1.25,58.0,62.0
14,2013,47.85,32.39,40.91,15.46,6.94,1.24,60.0,12.0
15,YTD,-2.08,13.98,0.47,-16.05,-2.55,1.25,58.0,76.0
