,Year,FHAIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,0.48,-0.82,5.05,1.3,-4.57,-4.57,28.0,86.0
1,2000,-7.37,11.63,-7.12,-19.0,-0.25,0.74,19.0,52.0
2,2001,2.92,8.44,2.39,-5.52,0.53,0.76,21.0,55.0
3,2002,-3.43,10.26,-1.52,-13.69,-1.92,0.75,19.0,71.0
4,2003,35.29,4.1,24.36,31.19,10.94,0.76,37.0,4.0
5,2004,11.59,4.34,9.99,7.25,1.6,0.75,0.75,18.0
6,2005,3.91,2.43,2.59,1.48,1.32,0.74,30.0,15.0
7,2006,9.23,4.33,10.14,4.9,-0.91,0.75,29.0,70.0
8,2007,3.18,6.97,1.47,-3.79,1.71,0.76,38.0,15.0
9,2008,-22.54,5.24,-26.41,-27.78,3.87,0.73,31.0,29.0
10,2009,44.33,5.93,46.7,38.4,-2.36,0.78,27.0,62.0
11,2010,13.14,6.54,14.24,6.6,-1.1,0.74,41.0,73.0
12,2011,4.55,7.84,2.83,-3.29,1.72,0.75,52.0,24.0
13,2012,15.71,4.21,14.67,11.5,1.04,0.76,23.0,31.0
14,2013,7.64,-2.02,6.9,9.67,0.75,0.76,29.0,27.0
15,YTD,2.62,5.87,2.83,-3.25,-0.21,0.76,29.0,60.0
