,Year,FSCDX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,68.88,21.04,19.95,47.84,48.93,1.33,62.0,38.0
1,2000,-17.36,-9.1,11.89,-8.26,-29.25,1.29,64.0,85.0
2,2001,-3.61,-11.89,8.92,8.27,-12.53,1.34,105.0,36.0
3,2002,-20.22,-22.1,-16.22,1.88,-4.0,1.38,43.0,21.0
4,2003,39.5,28.68,43.41,10.82,-3.91,1.35,1.35,68.0
5,2004,23.76,10.88,18.94,12.88,4.82,1.34,1.34,5.0
6,2005,7.46,4.91,6.75,2.55,0.71,1.36,102.0,37.0
7,2006,9.88,15.79,15.03,-5.91,-5.14,1.28,84.0,53.0
8,2007,12.83,5.49,-1.1,7.34,13.93,1.3,65.0,25.0
9,2008,-26.84,-37.0,-36.56,10.16,9.72,1.34,98.0,1.0
10,2009,28.02,26.46,31.8,1.55,-3.79,1.4,46.0,54.0
11,2010,17.8,15.06,25.61,2.73,-7.81,1.4,43.0,95.0
12,2011,-4.8,2.11,-4.07,-6.91,-0.73,1.31,38.0,65.0
13,2012,6.01,16.0,15.46,-9.99,-9.45,1.06,69.0,98.0
14,2013,38.18,32.39,37.39,5.8,0.79,1.0,34.0,41.0
15,YTD,7.5,13.98,1.83,-6.48,5.67,5.67,5.67,5.0
