,Year,TRIGX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,19.62,30.63,30.02,-11.0,-10.4,1.25,36.0,76.0
1,2000,-4.31,-15.31,-6.76,11.0,2.44,1.25,32.0,55.0
2,2001,-17.57,-19.73,-15.98,2.17,-1.59,1.25,9.0,65.0
3,2002,-11.65,-14.95,-12.37,3.3,0.72,1.44,25.0,40.0
4,2003,39.48,40.83,39.07,-1.35,0.41,1.25,1.25,46.0
5,2004,23.1,20.91,21.99,2.19,1.12,1.25,1.25,41.0
6,2005,15.75,16.62,13.19,-0.87,2.56,0.99,27.0,20.0
7,2006,29.92,26.65,25.98,3.27,3.94,0.91,37.0,19.0
8,2007,8.71,16.65,9.01,-7.94,-0.3,0.88,33.0,57.0
9,2008,-44.9,-45.53,-42.41,0.62,-2.49,0.89,24.0,70.0
10,2009,34.39,41.45,30.33,-7.06,4.07,0.94,17.0,27.0
11,2010,10.49,11.15,7.48,-0.66,3.02,0.89,31.0,17.0
12,2011,-10.8,-13.71,-12.77,2.91,1.96,0.87,26.0,22.0
13,2012,15.38,16.83,16.21,-1.45,-0.83,0.87,30.0,65.0
14,2013,22.97,15.29,20.81,7.68,2.16,0.86,42.0,33.0
15,YTD,-1.73,-0.27,-2.55,-1.46,0.82,0.82,0.82,37.0
