,Year,IUTIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.85,-0.82,-1.35,-2.03,-1.5,-1.5,-1.5,76.0
1,2000,13.11,11.63,10.86,1.48,2.25,0.41,56.0,3.0
2,2001,6.28,8.44,6.81,-2.16,-0.52,0.42,47.0,72.0
3,2002,11.13,10.26,9.23,0.87,1.9,0.42,47.0,9.0
4,2003,1.87,4.1,1.9,-2.24,-0.03,0.42,48.0,46.0
5,2004,3.11,4.34,3.01,-1.23,0.09,0.42,0.42,48.0
6,2005,2.49,2.43,1.91,0.06,0.58,0.42,44.0,18.0
7,2006,2.75,4.33,3.47,-1.58,-0.71,0.39,36.0,81.0
8,2007,8.78,6.97,6.09,1.81,2.69,0.38,39.0,3.0
9,2008,13.87,5.24,4.76,8.63,9.12,0.33,47.0,2.0
10,2009,-3.77,5.93,4.74,-9.7,-8.52,0.3,126.0,95.0
11,2010,5.67,6.54,5.66,-0.87,0.01,0.23,118.0,42.0
12,2011,9.46,7.84,6.7,1.62,2.76,0.2,142.0,6.0
13,2012,1.76,4.21,2.8,-2.45,-1.03,0.2,7.0,78.0
14,2013,-2.78,-2.02,-2.72,-0.76,-0.07,0.2,99.0,54.0
15,YTD,4.54,5.87,4.77,-1.32,-0.23,0.2,76.0,60.0
