,Year,FGRIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,10.42,21.04,20.16,-10.63,-9.74,-9.74,-9.74,86.0
1,2000,-1.98,-9.1,-6.31,7.12,4.32,0.66,41.0,23.0
2,2001,-9.35,-11.89,-13.5,2.54,4.15,0.66,46.0,17.0
3,2002,-18.08,-22.1,-22.25,4.03,4.18,0.68,36.0,13.0
4,2003,19.01,28.68,27.05,-9.68,-8.04,0.71,33.0,96.0
5,2004,9.84,10.88,10.02,-1.04,-0.18,0.69,0.69,56.0
6,2005,2.71,4.91,5.88,-2.2,-3.17,0.68,31.0,86.0
7,2006,10.71,15.79,14.17,-5.08,-3.45,0.65,120.0,89.0
8,2007,0.74,5.49,6.16,-4.75,-5.42,0.67,52.0,89.0
9,2008,-50.89,-37.0,-37.79,-13.89,-13.1,0.67,52.0,97.0
10,2009,23.05,26.46,28.17,-3.42,-5.12,0.78,122.0,78.0
11,2010,14.57,15.06,14.01,-0.49,0.57,0.74,98.0,37.0
12,2011,1.39,2.11,-1.27,-0.72,2.66,0.71,129.0,27.0
13,2012,19.1,16.0,14.96,3.1,4.14,0.71,62.0,8.0
14,2013,33.4,32.39,31.5,1.02,1.9,0.67,49.0,32.0
15,YTD,11.36,13.98,11.28,-2.62,0.08,0.65,41.0,57.0
