,Year,SEMAX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.07,-2.06,-4.0,-0.01,1.93,0.8,9.0,10.0
1,2000,9.94,11.68,11.06,-1.74,-1.12,0.8,11.0,72.0
2,2001,4.67,5.13,4.24,-0.46,0.43,0.74,54.0,16.0
3,2002,8.6,9.6,8.53,-1.0,0.07,0.07,0.07,44.0
4,2003,3.91,5.31,4.58,-1.4,-0.67,0.67,11.0,77.0
5,2004,2.68,4.48,3.41,-1.8,-0.73,0.73,0.73,72.0
6,2005,1.82,3.51,2.6,-1.7,-0.78,0.66,15.0,74.0
7,2006,3.4,4.84,4.08,-1.44,-0.68,0.7,18.0,77.0
8,2007,3.38,3.36,1.82,0.02,1.56,0.74,15.0,13.0
9,2008,1.08,-2.47,-7.31,3.56,8.39,0.5,10.0,2.0
10,2009,9.09,12.91,16.63,-3.82,-7.54,0.53,8.0,93.0
11,2010,2.69,2.38,1.08,0.31,1.61,0.55,9.0,7.0
12,2011,9.21,10.7,10.46,-1.49,-1.25,0.52,10.0,80.0
13,2012,4.22,6.78,6.97,-2.56,-2.75,0.5,11.0,84.0
14,2013,-2.11,-2.55,-5.11,0.44,3.0,0.54,7.0,1.0
15,YTD,5.79,8.5,8.55,-2.72,-2.76,-2.76,-2.76,82.0
