,Year,FGEAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,29.97,30.63,41.13,-0.66,-11.16,1.99,69.0,56.0
1,2000,-9.03,-15.31,-9.14,6.28,0.11,1.99,106.0,47.0
2,2001,-13.65,-19.73,-17.51,6.09,3.87,1.96,141.0,34.0
3,2002,-17.72,-14.95,-19.36,-2.77,1.64,1.92,130.0,35.0
4,2003,33.64,40.83,34.49,-7.19,-0.85,1.73,1.73,51.0
5,2004,13.15,20.91,15.27,-7.75,-2.11,1.72,1.72,69.0
6,2005,13.02,16.62,11.61,-3.6,1.41,1.54,52.0,40.0
7,2006,6.06,26.65,19.72,-20.59,-13.65,1.46,251.0,98.0
8,2007,6.84,16.65,11.28,-9.81,-4.44,1.45,102.0,71.0
9,2008,-46.76,-45.53,-41.91,-1.24,-4.86,1.41,257.0,80.0
10,2009,47.02,41.45,35.27,5.57,11.74,1.43,258.0,14.0
11,2010,25.31,11.15,13.74,14.16,11.57,1.44,179.0,6.0
12,2011,-26.2,-13.71,-7.93,-12.5,-18.27,1.43,140.0,98.0
13,2012,21.71,16.83,15.84,4.88,5.87,1.4,155.0,11.0
14,2013,33.65,15.29,25.19,18.36,8.46,1.35,211.0,12.0
15,YTD,8.07,-0.27,4.54,8.34,3.53,3.53,3.53,16.0
