,Year,AMHIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.31,-2.06,-3.71,-0.26,1.4,1.4,17.0,12.0
1,2000,7.33,11.68,5.54,-4.35,1.79,0.8,33.0,11.0
2,2001,6.39,5.13,5.41,1.26,0.98,0.8,18.0,19.0
3,2002,6.08,9.6,6.29,-3.53,-0.21,0.77,12.0,54.0
4,2003,6.24,5.31,7.01,0.93,-0.77,0.77,7.0,53.0
5,2004,5.67,4.48,6.57,1.19,-0.91,0.74,0.74,71.0
6,2005,4.68,3.51,6.35,1.17,-1.66,0.69,10.0,91.0
7,2006,6.38,4.84,7.14,1.54,-0.76,0.66,14.0,59.0
8,2007,-0.81,3.36,-3.31,-4.17,2.5,0.67,23.0,24.0
9,2008,-19.4,-2.47,-25.27,-16.93,5.86,0.65,27.0,19.0
10,2009,24.44,12.91,30.89,11.53,-6.45,0.7,29.0,81.0
11,2010,4.08,2.38,3.77,1.7,0.31,0.68,15.0,44.0
12,2011,9.9,10.7,10.18,-0.8,-0.27,0.64,18.0,65.0
13,2012,14.18,6.78,13.82,7.4,0.36,0.68,20.0,37.0
14,2013,-3.41,-2.55,-5.99,-0.85,2.58,0.69,25.0,4.0
15,YTD,13.08,8.5,12.88,4.58,0.2,0.68,24.0,47.0
