,Year,AWSHX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,1.16,21.04,6.72,-19.88,-5.56,-5.56,28.0,71.0
1,2000,9.06,-9.1,7.87,18.16,1.19,0.63,26.0,44.0
2,2001,1.51,-11.89,-4.99,13.4,6.5,0.65,25.0,17.0
3,2002,-14.85,-22.1,-18.69,7.25,3.85,0.65,22.0,20.0
4,2003,25.83,28.68,28.44,-2.86,-2.61,0.67,21.0,69.0
5,2004,9.92,10.88,12.97,-0.97,-3.05,0.64,0.64,81.0
6,2005,3.55,4.91,5.95,-1.36,-2.4,0.6,16.0,77.0
7,2006,18.04,15.79,18.15,2.25,-0.11,0.57,13.0,53.0
8,2007,3.97,5.49,1.42,-1.52,2.55,0.57,19.0,30.0
9,2008,-33.1,-37.0,-37.09,3.9,3.99,0.58,18.0,18.0
10,2009,18.98,26.46,24.13,-7.48,-5.15,0.65,39.0,73.0
11,2010,13.34,15.06,13.66,-1.72,-0.32,0.7,22.0,50.0
12,2011,7.05,2.11,-0.75,4.94,7.79,0.63,25.0,8.0
13,2012,12.5,16.0,14.57,-3.51,-2.07,0.62,22.0,76.0
14,2013,31.91,32.39,31.21,-0.48,0.69,0.62,22.0,43.0
15,YTD,11.43,13.98,10.25,-2.54,1.18,0.6,19.0,35.0
