,Year,FRBSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.53,21.04,8.5,-22.58,-10.03,0.93,18.0,69.0
1,2000,20.47,-9.1,18.45,29.57,2.02,1.06,9.0,43.0
2,2001,17.7,-11.89,6.67,29.59,11.03,0.96,27.0,43.0
3,2002,-5.96,-22.1,-13.25,16.14,7.28,0.92,11.0,24.0
4,2003,29.58,28.68,33.85,0.89,-4.27,1.0,1.0,90.0
5,2004,25.3,10.88,17.85,14.42,7.45,0.91,0.91,12.0
6,2005,10.9,4.91,8.82,5.99,2.08,0.91,4.0,30.0
7,2006,16.35,15.79,15.87,0.56,0.48,0.9,7.0,40.0
8,2007,-3.36,5.49,0.83,-8.85,-4.19,0.9,6.0,83.0
9,2008,-36.01,-37.0,-36.77,0.99,0.76,0.93,8.0,42.0
10,2009,22.59,26.46,35.41,-3.87,-12.82,1.0,6.0,95.0
11,2010,21.85,15.06,21.92,6.79,-0.07,0.97,5.0,53.0
12,2011,-6.36,2.11,-3.96,-8.47,-2.4,0.94,10.0,71.0
13,2012,15.65,16.0,16.6,-0.36,-0.95,0.99,8.0,62.0
14,2013,36.61,32.39,35.14,4.23,1.47,0.91,12.0,34.0
15,YTD,-0.04,13.98,8.68,-14.01,-8.72,-8.72,-8.72,97.0
