,Year,FKTFX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-4.39,-2.06,-4.6,-2.33,0.22,0.22,19.0,48.0
1,2000,12.63,11.68,12.79,0.95,-0.15,0.57,12.0,54.0
2,2001,5.36,5.13,3.84,0.23,1.52,0.57,6.0,4.0
3,2002,6.76,9.6,8.03,-2.84,-1.27,0.57,13.0,88.0
4,2003,4.62,5.31,4.27,-0.69,0.35,0.57,12.0,32.0
5,2004,5.48,4.48,4.37,1.0,1.11,0.58,0.58,12.0
6,2005,5.1,3.51,3.93,1.59,1.18,0.57,8.0,12.0
7,2006,5.43,4.84,4.58,0.59,0.85,0.58,9.0,12.0
8,2007,2.29,3.36,0.71,-1.07,1.58,0.58,8.0,20.0
9,2008,-8.86,-2.47,-11.05,-6.39,2.19,0.57,14.0,53.0
10,2009,16.43,12.91,17.38,3.51,-0.95,0.57,11.0,35.0
11,2010,1.98,2.38,1.77,-0.4,0.21,0.57,7.0,41.0
12,2011,11.34,10.7,11.74,0.64,-0.4,0.57,7.0,59.0
13,2012,10.16,6.78,10.42,3.38,-0.26,0.57,6.0,40.0
14,2013,-3.85,-2.55,-3.71,-1.3,-0.14,0.57,9.0,62.0
15,YTD,12.56,8.5,11.21,4.06,1.35,0.57,20.0,17.0
