,Year,TRMCX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.52,21.04,8.5,-17.52,-4.97,1.04,27.0,60.0
1,2000,22.75,-9.1,18.45,31.85,4.3,0.99,32.0,33.0
2,2001,14.36,-11.89,6.67,26.25,7.69,0.98,58.0,22.0
3,2002,-7.38,-22.1,-13.25,14.72,5.87,0.96,51.0,14.0
4,2003,39.0,28.68,33.85,10.31,5.15,0.91,0.91,19.0
5,2004,20.56,10.88,17.85,9.68,2.71,0.84,0.84,31.0
6,2005,7.73,4.91,8.82,2.82,-1.08,0.82,46.0,70.0
7,2006,20.24,15.79,15.87,4.44,4.36,0.8,62.0,12.0
8,2007,0.6,5.49,0.83,-4.9,-0.23,0.78,73.0,53.0
9,2008,-34.57,-37.0,-36.77,2.43,2.19,0.83,74.0,28.0
10,2009,46.68,26.46,35.41,20.21,11.26,0.84,58.0,9.0
11,2010,16.45,15.06,21.92,1.39,-5.47,0.81,46.0,92.0
12,2011,-4.82,2.11,-3.96,-6.93,-0.86,0.81,54.0,56.0
13,2012,19.63,16.0,16.6,3.63,3.03,0.81,44.0,15.0
14,2013,31.54,32.39,35.14,-0.85,-3.61,0.8,32.0,79.0
15,YTD,9.42,13.98,8.68,-4.56,0.74,0.74,0.74,45.0
