,Year,MFHQX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,,,,,,,79.0,79.0
1,2000,,,,,,,95.0,95.0
2,2001,,,,,,,262.0,262.0
3,2002,7.79,10.26,8.04,-2.46,-0.24,-0.24,282.0,66.0
4,2003,3.41,4.1,5.1,-0.7,-1.7,-1.7,287.0,73.0
5,2004,3.17,4.34,3.91,-1.17,-0.75,-0.75,-0.75,74.0
6,2005,1.44,2.43,1.8,-0.99,-0.36,-0.36,235.0,68.0
7,2006,2.97,4.33,4.15,-1.36,-1.18,-1.18,208.0,92.0
8,2007,4.15,6.97,4.7,-2.81,-0.55,1.46,1.46,73.0
9,2008,-12.12,5.24,-4.7,-17.36,-7.42,1.5,1081.0,86.0
10,2009,15.16,5.93,13.97,9.23,1.19,1.48,708.0,37.0
11,2010,9.1,6.54,7.72,2.56,1.39,1.93,1754.0,22.0
12,2011,3.59,7.84,5.86,-4.25,-2.27,1.91,1771.0,90.0
13,2012,9.05,4.21,7.01,4.83,2.04,1.62,1346.0,22.0
14,2013,-1.13,-2.02,-1.42,0.9,0.3,1.67,777.0,33.0
15,YTD,6.89,5.87,5.34,1.03,1.55,1.45,750.0,9.0
