,Year,VISVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,3.35,21.04,6.78,-17.69,-3.43,0.25,80.0,50.0
1,2000,21.88,-9.1,18.64,30.98,3.24,0.27,82.0,36.0
2,2001,13.7,-11.89,15.92,25.58,-2.22,0.27,59.0,65.0
3,2002,-14.2,-22.1,-10.12,7.9,-4.08,0.27,57.0,72.0
4,2003,37.19,28.68,42.38,8.51,-5.19,0.27,0.27,71.0
5,2004,23.55,10.88,21.14,12.67,2.41,0.23,0.23,26.0
6,2005,6.07,4.91,6.4,1.16,-0.33,0.23,28.0,57.0
7,2006,19.24,15.79,16.27,3.45,2.97,0.23,25.0,26.0
8,2007,-7.07,5.49,-6.08,-12.57,-0.99,0.22,34.0,56.0
9,2008,-32.05,-37.0,-32.24,4.94,0.18,0.23,30.0,55.0
10,2009,30.34,26.46,31.32,3.87,-0.98,0.28,33.0,43.0
11,2010,24.82,15.06,26.17,9.75,-1.35,0.26,25.0,65.0
12,2011,-4.16,2.11,-4.45,-6.28,0.29,0.24,30.0,51.0
13,2012,18.56,16.0,16.0,2.56,2.56,0.24,25.0,27.0
14,2013,36.41,32.39,36.22,4.02,0.19,0.24,47.0,47.0
15,YTD,8.55,13.98,1.3,-5.43,7.25,7.25,7.25,2.0
