,Year,UMBIX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,41.98,21.04,20.16,20.94,21.82,21.82,21.82,1.0
1,2000,7.21,-9.1,-6.31,16.32,13.52,13.52,13.52,52.0
2,2001,-4.96,-11.89,-13.5,6.93,8.55,1.05,15.0,47.0
3,2002,-23.32,-22.1,-22.25,-1.22,-1.07,0.94,3.0,82.0
4,2003,47.78,28.68,27.05,19.09,20.73,0.99,16.0,1.0
5,2004,19.36,10.88,10.02,8.48,9.34,0.99,0.99,4.0
6,2005,9.96,4.91,5.88,5.05,4.08,1.07,8.0,14.0
7,2006,14.88,15.79,14.17,-0.92,0.71,1.05,12.0,89.0
8,2007,10.43,5.49,6.16,4.94,4.27,1.05,13.0,4.0
9,2008,-47.3,-37.0,-37.79,-10.3,-9.51,1.02,11.0,95.0
10,2009,47.29,26.46,28.17,20.82,19.12,0.89,17.0,2.0
11,2010,19.68,15.06,14.01,4.62,5.68,0.89,6.0,4.0
12,2011,-10.79,2.11,-1.27,-12.9,-9.52,0.95,12.0,98.0
13,2012,13.9,16.0,14.96,-2.1,-1.06,0.94,64.0,68.0
14,2013,35.96,32.39,31.5,3.57,4.46,0.96,55.0,16.0
15,YTD,13.11,13.98,11.28,-0.87,1.83,0.96,55.0,33.0
