,Year,VGHCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,7.04,24.93,18.58,-17.9,-11.55,-11.55,11.0,55.0
1,2000,60.56,-13.18,56.75,73.74,3.81,0.39,27.0,34.0
2,2001,-6.87,-16.82,-11.26,9.95,4.38,0.34,21.0,32.0
3,2002,-11.36,-19.89,-28.13,8.52,16.77,0.31,13.0,3.0
4,2003,26.58,33.11,32.51,-6.53,-5.93,0.29,25.0,70.0
5,2004,9.51,14.72,9.84,-5.21,-0.33,0.28,0.28,45.0
6,2005,15.41,9.49,9.64,5.92,5.76,0.21,13.0,17.0
7,2006,10.87,20.07,4.27,-9.2,6.6,0.25,14.0,13.0
8,2007,4.43,9.04,9.27,-4.61,-4.84,0.25,8.0,82.0
9,2008,-18.45,-40.71,-23.43,22.26,4.98,0.26,9.0,20.0
10,2009,20.96,29.99,22.48,-9.02,-1.51,0.29,12.0,58.0
11,2010,6.16,11.76,8.38,-5.6,-2.22,0.36,6.0,67.0
12,2011,11.45,-5.54,7.66,16.99,3.79,0.35,9.0,17.0
13,2012,15.11,15.83,21.55,-0.71,-6.44,0.35,8.0,86.0
14,2013,43.19,26.68,48.17,16.51,-4.98,0.35,8.0,69.0
15,YTD,29.39,6.66,26.63,22.73,2.75,0.35,21.0,39.0
