,Year,FSHCX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-29.59,24.93,18.58,-54.53,-48.18,-48.18,-48.18,100.0
1,2000,67.82,-13.18,56.75,81.0,11.08,1.67,154.0,32.0
2,2001,-2.32,-16.82,-11.26,14.5,8.94,1.22,113.0,26.0
3,2002,-12.13,-19.89,-28.13,7.75,16.0,1.19,106.0,3.0
4,2003,30.15,33.11,32.51,-2.95,-2.36,1.13,269.0,52.0
5,2004,45.46,14.72,9.84,30.74,35.62,1.24,1.24,1.0
6,2005,29.07,9.49,9.64,19.58,19.42,0.92,244.0,1.0
7,2006,-1.58,20.07,4.27,-21.65,-5.85,0.91,106.0,86.0
8,2007,16.86,9.04,9.27,7.82,7.59,0.94,92.0,16.0
9,2008,-44.56,-40.71,-23.43,-3.85,-21.13,0.91,113.0,100.0
10,2009,48.98,29.99,22.48,18.99,26.5,0.94,122.0,3.0
11,2010,15.43,11.76,8.38,3.66,7.05,0.96,50.0,17.0
12,2011,10.23,-5.54,7.66,15.77,2.56,0.88,55.0,28.0
13,2012,10.55,15.83,21.55,-5.28,-11.0,0.84,86.0,95.0
14,2013,35.31,26.68,48.17,8.63,-12.86,0.83,96.0,93.0
15,YTD,21.54,6.66,26.63,14.88,-5.1,0.82,65.0,78.0
