,Year,NMIAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,17.41,21.04,20.16,-3.64,-2.75,-2.75,35.0,64.0
1,2000,-11.15,-9.1,-6.31,-2.04,-4.84,1.0,64.0,80.0
2,2001,-9.56,-11.89,-13.5,2.33,3.94,0.75,97.0,18.0
3,2002,-21.86,-22.1,-22.25,0.24,0.39,0.75,342.0,37.0
4,2003,29.43,28.68,27.05,0.75,2.38,0.75,163.0,20.0
5,2004,10.23,10.88,10.02,-0.65,0.2,0.75,0.75,49.0
6,2005,6.47,4.91,5.88,1.55,0.59,0.75,218.0,38.0
7,2006,16.42,15.79,14.17,0.63,2.25,0.75,269.0,14.0
8,2007,3.83,5.49,6.16,-1.67,-2.33,0.75,230.0,74.0
9,2008,-36.73,-37.0,-37.79,0.27,1.06,0.75,207.0,33.0
10,2009,23.89,26.46,28.17,-2.57,-4.28,0.75,246.0,74.0
11,2010,13.01,15.06,14.01,-2.05,-0.99,0.89,122.0,64.0
12,2011,4.36,2.11,-1.27,2.25,5.64,0.95,63.0,9.0
13,2012,15.78,16.0,14.96,-0.22,0.82,0.94,67.0,39.0
14,2013,34.71,32.39,31.5,2.33,3.21,0.89,92.0,23.0
15,YTD,15.16,13.98,11.28,1.18,3.88,0.89,101.0,7.0
