,Year,FDLSX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,32.83,24.93,14.76,7.89,18.07,18.07,18.07,8.0
1,2000,-24.45,-13.18,-14.28,-11.27,-10.17,1.12,120.0,92.0
2,2001,3.25,-16.82,-1.13,20.08,4.38,1.12,65.0,15.0
3,2002,-21.13,-19.89,-17.74,-1.25,-3.4,1.09,60.0,82.0
4,2003,41.85,33.11,30.18,8.74,11.66,1.19,124.0,1.0
5,2004,17.5,14.72,12.53,2.78,4.97,1.09,1.09,16.0
6,2005,4.01,9.49,-0.22,-5.48,4.23,0.96,117.0,19.0
7,2006,16.32,20.07,16.06,-3.75,0.26,0.94,107.0,42.0
8,2007,4.19,9.04,-6.83,-4.85,11.02,0.94,179.0,1.0
9,2008,-29.05,-40.71,-39.8,11.66,10.75,0.91,74.0,1.0
10,2009,24.25,29.99,37.84,-5.74,-13.59,0.93,120.0,100.0
11,2010,37.88,11.76,27.35,26.11,10.52,0.93,99.0,1.0
12,2011,5.85,-5.54,1.58,11.39,4.26,0.89,112.0,16.0
13,2012,11.4,15.83,22.64,-4.43,-11.24,0.86,77.0,100.0
14,2013,41.72,26.68,37.14,15.05,4.59,0.83,90.0,29.0
15,YTD,8.35,6.66,6.5,1.69,1.84,0.81,65.0,28.0
