,Year,FAEMX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,36.34,-0.82,29.58,37.16,6.76,6.76,275.0,19.0
1,2000,13.64,11.63,12.68,2.02,0.96,1.45,293.0,47.0
2,2001,6.25,8.44,12.83,-2.19,-6.58,1.5,344.0,69.0
3,2002,11.82,10.26,12.69,1.56,-0.88,1.46,222.0,61.0
4,2003,30.09,4.1,30.83,25.99,-0.74,1.43,1.43,62.0
5,2004,12.35,4.34,12.31,8.01,0.04,2.16,2.16,55.0
6,2005,10.97,2.43,11.5,8.54,-0.53,1.21,202.0,60.0
7,2006,11.51,4.33,10.99,7.18,0.53,1.19,105.0,32.0
8,2007,5.23,6.97,5.36,-1.74,-0.12,1.19,72.0,40.0
9,2008,-17.8,5.24,-17.64,-23.04,-0.16,1.2,57.0,56.0
10,2009,44.03,5.93,32.43,38.1,11.61,1.2,123.0,13.0
11,2010,10.41,6.54,12.34,3.87,-1.93,1.2,96.0,79.0
12,2011,7.53,7.84,1.98,-0.31,5.56,1.2,133.0,4.0
13,2012,19.49,4.21,17.95,15.28,1.55,1.2,87.0,27.0
14,2013,-6.87,-2.02,-7.27,-4.84,0.4,1.19,138.0,44.0
15,YTD,7.72,5.87,3.43,1.85,4.29,4.29,4.29,11.0
