,Year,FDSVX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,42.52,21.04,38.87,21.48,3.65,3.65,3.65,4.0
1,2000,-8.35,-9.1,-13.05,0.76,4.7,0.86,291.0,48.0
2,2001,-9.59,-11.89,-22.3,2.3,12.72,0.91,168.0,18.0
3,2002,-15.94,-22.1,-27.64,6.16,11.71,0.99,259.0,8.0
4,2003,19.87,28.68,28.66,-8.81,-8.79,0.97,367.0,95.0
5,2004,10.62,10.88,7.81,-0.26,2.81,0.84,0.84,39.0
6,2005,2.14,4.91,6.71,-2.77,-4.57,0.7,229.0,89.0
7,2006,13.94,15.79,7.05,-1.86,6.88,0.61,184.0,57.0
8,2007,26.84,5.49,13.35,21.34,13.48,0.8,199.0,6.0
9,2008,-46.72,-37.0,-40.67,-9.73,-6.06,0.9,149.0,90.0
10,2009,29.33,26.46,35.68,2.87,-6.35,0.89,166.0,75.0
11,2010,24.04,15.06,15.53,8.97,8.51,0.75,87.0,4.0
12,2011,0.5,2.11,-2.46,-1.61,2.97,0.62,72.0,25.0
13,2012,14.5,16.0,15.34,-1.5,-0.84,0.8,74.0,56.0
14,2013,36.47,32.39,33.92,4.08,2.55,0.87,62.0,24.0
15,YTD,12.73,13.98,10.79,-1.25,1.94,0.81,70.0,29.0
