,Year,JFTAX_Returns,MSCI ACWI Ex USA NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2001,,,,,,,43.0,43.0
1,2002,-16.86,-14.95,-16.69,-1.92,-0.17,1.8,97.0,49.0
2,2003,34.67,40.83,33.58,-6.16,1.09,1.8,1.8,38.0
3,2004,15.39,20.91,17.39,-5.52,-2.0,1.69,1.69,76.0
4,2005,13.74,16.62,14.72,-2.88,-0.98,1.63,56.0,55.0
5,2006,25.57,26.65,24.77,-1.08,0.81,1.5,92.0,41.0
6,2007,10.45,16.65,12.71,-6.2,-2.26,1.5,84.0,67.0
7,2008,-45.75,-45.53,-43.99,-0.22,-1.76,1.51,126.0,69.0
8,2009,27.13,41.45,31.24,-14.32,-4.12,1.51,95.0,71.0
9,2010,11.95,11.15,10.24,0.8,1.72,1.5,92.0,31.0
10,2011,-15.18,-13.71,-13.97,-1.47,-1.21,1.5,79.0,69.0
11,2012,19.24,16.83,18.29,2.41,0.95,1.5,46.0,30.0
12,2013,22.48,15.29,19.44,7.19,3.05,1.47,49.0,19.0
13,YTD,-3.06,-0.27,-1.63,-2.79,-1.43,-1.43,-1.43,75.0
