,Year,PFMIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.72,-2.06,-4.7,-1.66,0.99,0.99,0.99,29.0
1,2000,10.29,11.68,11.24,-1.4,-0.96,0.5,144.0,71.0
2,2001,7.74,5.13,3.92,2.62,3.83,0.5,306.0,1.0
3,2002,8.29,9.6,8.45,-1.31,-0.16,0.5,231.0,58.0
4,2003,5.35,5.31,4.9,0.03,0.45,0.49,108.0,27.0
5,2004,2.92,4.48,3.77,-1.56,-0.85,0.49,115.0,75.0
6,2005,3.85,3.51,3.1,0.34,0.76,0.49,64.0,18.0
7,2006,5.42,4.84,4.57,0.57,0.85,0.48,74.0,13.0
8,2007,0.82,3.36,1.27,-2.54,-0.45,0.47,76.0,69.0
9,2008,-19.63,-2.47,-9.45,-17.15,-10.18,0.47,64.0,92.0
10,2009,20.66,12.91,17.3,7.74,3.36,0.47,100.0,23.0
11,2010,3.55,2.38,1.65,1.17,1.9,0.45,51.0,3.0
12,2011,9.28,10.7,10.64,-1.42,-1.36,0.44,22.0,89.0
13,2012,10.35,6.78,8.87,3.57,1.48,0.44,76.0,21.0
14,2013,-3.57,-2.55,-4.59,-1.02,1.02,0.44,39.0,24.0
15,YTD,10.06,8.5,9.8,1.56,0.26,0.44,74.0,46.0
