,Year,FSUTX_Returns,MSCI ACWI NR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,25.92,24.93,15.87,0.99,10.05,10.05,10.05,28.0
1,2000,-13.52,-13.18,8.42,-0.34,-21.94,1.04,93.0,89.0
2,2001,-21.89,-16.82,-20.74,-5.07,-1.15,0.99,60.0,59.0
3,2002,-30.4,-19.89,-23.82,-10.51,-6.57,1.09,54.0,84.0
4,2003,26.42,33.11,23.65,-6.68,2.78,1.17,139.0,31.0
5,2004,24.22,14.72,23.96,9.5,0.26,1.19,1.19,42.0
6,2005,9.36,9.49,13.59,-0.13,-4.23,0.99,51.0,75.0
7,2006,30.08,20.07,26.03,10.01,4.05,0.92,101.0,28.0
8,2007,18.13,9.04,20.39,9.1,-2.26,0.93,107.0,77.0
9,2008,-36.0,-40.71,-33.87,4.72,-2.13,0.87,121.0,70.0
10,2009,14.39,29.99,17.82,-15.6,-3.43,0.89,167.0,53.0
11,2010,10.94,11.76,8.6,-0.82,2.34,0.93,226.0,40.0
12,2011,13.09,-5.54,10.58,18.64,2.52,0.87,238.0,38.0
13,2012,7.03,15.83,6.9,-8.79,0.13,0.84,202.0,40.0
14,2013,20.61,26.68,18.37,-6.07,2.24,0.79,158.0,17.0
15,YTD,20.7,6.66,16.85,14.05,3.85,0.8,160.0,18.0
