,Year,FKCIX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-1.31,-2.06,-2.78,0.74,1.46,0.6,5.0,49.0
1,2000,9.84,11.68,11.07,-1.85,-1.23,-1.23,10.0,61.0
2,2001,4.46,5.13,4.42,-0.66,0.04,0.6,8.0,53.0
3,2002,7.71,9.6,7.66,-1.89,0.06,0.68,12.0,58.0
4,2003,3.86,5.31,3.27,-1.45,0.59,0.68,10.0,26.0
5,2004,3.98,4.48,2.57,-0.5,1.41,0.67,0.67,9.0
6,2005,2.48,3.51,1.89,-1.04,0.59,0.67,4.0,17.0
7,2006,3.89,4.84,3.71,-0.95,0.18,0.66,13.0,40.0
8,2007,3.14,3.36,2.5,-0.22,0.64,0.67,11.0,39.0
9,2008,-5.24,-2.47,-3.59,-2.77,-1.66,0.66,23.0,68.0
10,2009,12.34,12.91,10.27,-0.57,2.08,0.66,20.0,28.0
11,2010,3.16,2.38,2.34,0.78,0.82,0.66,12.0,28.0
12,2011,10.39,10.7,8.67,-0.31,1.72,0.64,9.0,6.0
13,2012,6.39,6.78,5.51,-0.39,0.88,0.64,10.0,15.0
14,2013,-1.69,-2.55,-1.44,0.86,-0.25,0.63,6.0,75.0
15,YTD,7.81,8.5,6.11,-0.69,1.7,0.63,16.0,9.0
