,Year,VFTSX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,2000,,,,,,0.25,3.0,3.0
1,2001,-14.08,-11.89,-13.5,-2.2,-0.58,0.25,10.0,64.0
2,2002,-24.24,-22.1,-22.25,-2.14,-1.99,0.25,18.0,29.0
3,2003,30.45,28.68,27.05,1.77,3.4,0.25,14.0,31.0
4,2004,8.27,10.88,10.02,-2.61,-1.75,0.25,0.25,46.0
5,2005,4.1,4.91,5.88,-0.81,-1.78,0.25,12.0,70.0
6,2006,13.09,15.79,14.17,-2.71,-1.08,0.25,51.0,9.0
7,2007,-2.31,5.49,6.16,-7.8,-8.47,0.24,20.0,95.0
8,2008,-42.39,-37.0,-37.79,-5.4,-4.6,0.24,41.0,86.0
9,2009,35.12,26.46,28.17,8.66,6.95,0.29,30.0,45.0
10,2010,14.43,15.06,14.01,-0.64,0.42,0.29,35.0,57.0
11,2011,-0.78,2.11,-1.27,-2.89,0.49,0.29,11.0,37.0
12,2012,17.84,16.0,14.96,1.84,2.88,0.29,45.0,23.0
13,2013,36.84,32.39,31.5,4.45,5.34,0.28,29.0,21.0
14,YTD,15.34,13.98,11.28,1.37,4.06,0.27,14.0,5.0
