,Year,PRTIX_Returns,Barclays US Agg Bond TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-3.22,-0.82,-1.35,-2.4,-1.87,-1.87,61.0,83.0
1,2000,12.17,11.63,10.86,0.54,1.31,0.64,48.0,11.0
2,2001,7.52,8.44,6.81,-0.92,0.72,0.65,108.0,20.0
3,2002,12.02,10.26,9.23,1.76,2.79,0.64,104.0,6.0
4,2003,1.83,4.1,1.9,-2.28,-0.07,0.64,106.0,48.0
5,2004,1.17,4.34,3.01,-3.17,-1.85,0.65,0.65,95.0
6,2005,1.5,2.43,1.91,-0.93,-0.4,0.65,91.0,70.0
7,2006,2.51,4.33,3.47,-1.82,-0.95,0.62,47.0,86.0
8,2007,9.91,6.97,6.09,2.95,3.83,0.57,37.0,2.0
9,2008,14.1,5.24,4.76,8.86,9.35,0.54,101.0,2.0
10,2009,-1.37,5.93,4.74,-7.3,-6.11,0.52,102.0,91.0
11,2010,7.04,6.54,5.66,0.5,1.38,0.52,37.0,17.0
12,2011,10.43,7.84,6.7,2.59,3.74,0.51,33.0,1.0
13,2012,2.68,4.21,2.8,-1.53,-0.12,0.49,57.0,44.0
14,2013,-4.11,-2.02,-2.72,-2.09,-1.4,0.49,34.0,87.0
15,YTD,4.69,5.87,4.77,-1.17,-0.08,0.51,34.0,53.0
