,Year,FKGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,12.19,21.04,38.87,-8.85,-26.69,-26.69,-26.69,81.0
1,2000,7.53,-9.1,-13.05,16.63,20.58,0.93,8.0,7.0
2,2001,-9.47,-11.89,-22.3,2.42,12.83,0.91,0.0,17.0
3,2002,-24.35,-22.1,-27.64,-2.25,3.29,0.96,2.0,76.0
4,2003,28.03,28.68,28.66,-0.66,-0.63,1.06,5.0,37.0
5,2004,11.3,10.88,7.81,0.42,3.49,0.98,2.0,29.0
6,2005,8.36,4.91,6.71,3.44,1.64,0.94,1.0,20.0
7,2006,14.16,15.79,7.05,-1.63,7.11,0.91,2.0,54.0
8,2007,7.13,5.49,13.35,1.63,-6.23,0.93,0.0,80.0
9,2008,-33.39,-37.0,-40.67,3.61,7.28,0.89,6.0,6.0
10,2009,34.25,26.46,35.68,7.78,-1.43,1.0,4.0,51.0
11,2010,14.87,15.06,15.53,-0.19,-0.66,0.94,4.0,54.0
12,2011,0.63,2.11,-2.46,-1.48,3.09,0.92,3.0,24.0
13,2012,13.69,16.0,15.34,-2.31,-1.65,0.94,4.0,65.0
14,2013,29.39,32.39,33.92,-3.0,-4.53,0.91,1.0,85.0
15,YTD,15.54,13.98,10.79,1.57,4.75,0.9,2.0,6.0
