,Year,FBGRX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,24.26,21.04,38.87,3.22,-14.62,-14.62,-14.62,76.0
1,2000,-10.54,-9.1,-13.05,-1.44,2.51,0.86,40.0,37.0
2,2001,-16.55,-11.89,-22.3,-4.67,5.75,0.87,46.0,28.0
3,2002,-25.32,-22.1,-27.64,-3.22,2.32,0.74,34.0,35.0
4,2003,24.8,28.68,28.66,-3.89,-3.86,0.69,24.0,69.0
5,2004,6.26,10.88,7.81,-4.62,-1.55,0.67,0.67,63.0
6,2005,4.03,4.91,6.71,-0.88,-2.68,0.64,29.0,71.0
7,2006,5.54,15.79,7.05,-10.25,-1.51,0.61,48.0,66.0
8,2007,11.83,5.49,13.35,6.33,-1.53,0.59,87.0,58.0
9,2008,-38.6,-37.0,-40.67,-1.61,2.06,0.57,82.0,35.0
10,2009,44.96,26.46,35.68,18.5,9.28,0.76,134.0,13.0
11,2010,19.61,15.06,15.53,4.54,4.08,0.93,135.0,17.0
12,2011,-2.72,2.11,-2.46,-4.83,-0.26,0.92,132.0,56.0
13,2012,17.77,16.0,15.34,1.76,2.43,0.89,95.0,23.0
14,2013,39.84,32.39,33.92,7.46,5.92,0.74,75.0,10.0
15,YTD,15.22,13.98,10.79,1.24,4.43,0.8,57.0,8.0
