,Year,FMHTX_Returns,Barclays Municipal TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,-2.63,-2.06,-2.66,-0.57,0.03,0.52,19.0,10.0
1,2000,11.18,11.68,9.62,-0.5,1.56,0.45,18.0,37.0
2,2001,4.78,5.13,4.37,-0.35,0.41,0.44,19.0,26.0
3,2002,9.78,9.6,8.12,0.18,1.66,0.48,17.0,5.0
4,2003,5.87,5.31,4.03,0.55,1.83,0.49,0.49,4.0
5,2004,3.9,4.48,2.88,-0.58,1.03,0.48,0.48,16.0
6,2005,2.67,3.51,2.08,-0.84,0.59,0.45,23.0,21.0
7,2006,4.43,4.84,3.77,-0.41,0.66,0.44,17.0,11.0
8,2007,3.71,3.36,2.05,0.35,1.65,0.44,15.0,12.0
9,2008,-0.06,-2.47,-2.81,2.41,2.74,0.47,19.0,30.0
10,2009,9.3,12.91,11.29,-3.61,-1.99,0.5,6.0,69.0
11,2010,2.32,2.38,1.65,-0.06,0.67,0.49,7.0,18.0
12,2011,9.21,10.7,8.9,-1.49,0.31,0.49,9.0,38.0
13,2012,6.18,6.78,4.75,-0.6,1.42,0.48,10.0,15.0
14,2013,-2.75,-2.55,-2.82,-0.2,0.07,0.48,8.0,59.0
15,YTD,8.58,8.5,6.39,0.08,2.19,2.19,2.19,9.0
