,Year,BMGAX_Returns,S&P 500 TR USD,Category (LB),+/- S&P 500 TR USD,+/- Category (LB),Annual_Net_Exp_Ratio,Turnover_Ratio,Rank_In_Category
0,1999,120.08,21.04,60.49,99.03,59.59,1.58,318.0,10.0
1,2000,-11.67,-9.1,-4.78,-2.56,-6.89,1.57,425.0,68.0
2,2001,-32.15,-11.89,-19.98,-20.27,-12.18,1.6,585.0,82.0
3,2002,-28.91,-22.1,-27.24,-6.81,-1.67,1.62,279.0,59.0
4,2003,33.5,28.68,35.96,4.82,-2.46,1.68,168.0,60.0
5,2004,15.11,10.88,13.23,4.22,1.88,1.67,1.67,36.0
6,2005,10.21,4.91,9.84,5.3,0.37,1.58,85.0,49.0
7,2006,5.98,15.79,9.0,-9.81,-3.02,1.58,64.0,72.0
8,2007,19.29,5.49,15.09,13.79,4.19,1.57,53.0,32.0
9,2008,-46.37,-37.0,-43.77,-9.37,-2.6,1.53,45.0,66.0
10,2009,48.82,26.46,39.11,22.36,9.72,1.59,53.0,16.0
11,2010,15.02,15.06,24.61,-0.04,-9.59,1.58,76.0,93.0
12,2011,-3.35,2.11,-3.96,-5.46,0.61,1.58,131.0,44.0
13,2012,10.67,16.0,14.07,-5.34,-3.41,1.39,88.0,81.0
14,2013,46.74,32.39,34.93,14.35,11.82,1.39,160.0,2.0
15,YTD,6.9,13.98,6.96,-7.08,-0.06,-0.06,123.0,56.0
